work_order_id,machine_id,plant_id,created_at,scheduled_start,actual_start,scheduled_end,actual_end,status,priority,product_type,planned_units,actual_units,defect_count,downtime_minutes,operator_id,failure_mode,risk_score,risk_label
1,42,5,2021-01-09T01:18:13+00:00,2021-01-09T04:32:10.185791+00:00,2021-01-09T04:33:53.262857+00:00,2021-01-10T06:21:51.725816+00:00,2021-01-10T06:23:59.019392+00:00,completed,low,Panel-2,682,663,10,17,114,,,
2,27,3,2022-09-11T12:26:31+00:00,2022-09-11T14:28:13.639104+00:00,2022-09-11T14:31:44.184641+00:00,2022-09-11T16:10:45.355806+00:00,2022-09-11T16:04:54.528965+00:00,completed,medium,Assembly-Z,805,776,5,6,87,,,
3,32,4,2022-09-02T09:26:10+00:00,2022-09-02T12:47:06.656847+00:00,2022-09-02T12:49:50.183774+00:00,2022-09-03T04:18:19.905038+00:00,2022-09-02T15:30:02.521772+00:00,failed,low,Module-Alpha,681,92,15,343,181,overheating,,
4,30,3,2021-06-16T15:06:23+00:00,2021-06-16T16:39:42.052323+00:00,2021-06-16T16:41:28.257635+00:00,2021-06-17T02:25:30.609844+00:00,2021-06-17T02:53:13.356712+00:00,completed,medium,Component-Y,474,471,2,9,140,,,
5,40,4,2021-10-16T07:06:31+00:00,2021-10-16T07:56:45.526123+00:00,2021-10-16T08:01:20.887085+00:00,2021-10-16T15:12:27.127444+00:00,2021-10-16T15:11:19.587331+00:00,completed,medium,Panel-2,800,767,13,8,4,,,
6,35,4,2023-02-27T02:13:09+00:00,2023-02-27T04:59:37.067180+00:00,2023-02-27T05:49:30.880476+00:00,2023-02-27T19:25:40.379006+00:00,2023-02-27T07:44:57.139893+00:00,failed,medium,Component-X,646,60,9,114,136,electrical_fault,,
7,2,1,2022-10-05T21:11:45+00:00,2022-10-05T22:54:35.559537+00:00,2022-10-06T04:40:55.031959+00:00,2022-10-06T08:57:53.863194+00:00,2022-10-06T17:09:42.618749+00:00,delayed,high,Component-X,929,898,30,3,17,,,
8,35,4,2022-04-28T15:18:32+00:00,2022-04-28T16:58:09.769367+00:00,2022-04-28T17:10:33.432099+00:00,2022-04-29T00:06:35.354271+00:00,2022-04-29T00:33:43.909034+00:00,completed,medium,Module-Alpha,565,540,6,9,64,,,
9,7,1,2023-01-06T10:20:09+00:00,2023-01-06T13:31:33.958398+00:00,2023-01-06T15:21:29.243683+00:00,2023-01-07T07:14:49.112461+00:00,2023-01-06T20:23:37.988703+00:00,failed,medium,Widget-B,677,99,21,93,62,misalignment,,
10,45,5,2023-06-04T05:27:02+00:00,2023-06-04T07:45:11.719828+00:00,2023-06-04T07:45:52.139385+00:00,2023-06-04T15:26:39.716826+00:00,2023-06-04T15:11:18.381597+00:00,completed,medium,Widget-B,956,955,14,3,179,,,
